,uriPer_x,uriPer_y,orgs,numberOrgs,uriOrgs,periods_x,BeginY_x,EndY_x,BeginY_y,EndY_y,periods_y
2174,http://www.wikidata.org/entity/Q32305,http://www.wikidata.org/entity/Q382247,United States Naval Test Pilot School|Naval Postgraduate School,2,http://www.wikidata.org/entity/Q1128819|http://www.wikidata.org/entity/Q1515048,1961-1980,1982.0,1993.0,1977.0,1988.0,1941-1960
2177,http://www.wikidata.org/entity/Q32305,http://www.wikidata.org/entity/Q447057,United States Naval Test Pilot School|Naval Postgraduate School,2,http://www.wikidata.org/entity/Q1128819|http://www.wikidata.org/entity/Q1515048,1961-1980,1982.0,1993.0,1979.0,1990.0,1961-1980
2179,http://www.wikidata.org/entity/Q32305,http://www.wikidata.org/entity/Q45082,United States Naval Test Pilot School|Naval Postgraduate School,2,http://www.wikidata.org/entity/Q1128819|http://www.wikidata.org/entity/Q1515048,1961-1980,1982.0,1993.0,1976.0,1987.0,1941-1960
2187,http://www.wikidata.org/entity/Q32305,http://www.wikidata.org/entity/Q55177,United States Naval Test Pilot School|United States Naval Academy,2,http://www.wikidata.org/entity/Q1128819|http://www.wikidata.org/entity/Q559549,1961-1980,1982.0,1993.0,1983.0,1994.0,1961-1980
2193,http://www.wikidata.org/entity/Q32305,http://www.wikidata.org/entity/Q935510,United States Naval Test Pilot School|United States Naval Academy,2,http://www.wikidata.org/entity/Q1128819|http://www.wikidata.org/entity/Q559549,1961-1980,1982.0,1993.0,1976.0,1987.0,1941-1960
2197,http://www.wikidata.org/entity/Q324774,http://www.wikidata.org/entity/Q386148,United States Air Force Academy|U.S. Air Force Test Pilot School,2,http://www.wikidata.org/entity/Q1331280|http://www.wikidata.org/entity/Q3428253,1941-1960,1975.0,1986.0,1974.0,1985.0,1941-1960
2198,http://www.wikidata.org/entity/Q324774,http://www.wikidata.org/entity/Q41575,United States Air Force Academy|U.S. Air Force Test Pilot School,2,http://www.wikidata.org/entity/Q1331280|http://www.wikidata.org/entity/Q3428253,1941-1960,1975.0,1986.0,1976.0,1987.0,1941-1960
2203,http://www.wikidata.org/entity/Q324774,http://www.wikidata.org/entity/Q448470,United States Air Force Academy|U.S. Air Force Test Pilot School,2,http://www.wikidata.org/entity/Q1331280|http://www.wikidata.org/entity/Q3428253,1941-1960,1975.0,1986.0,1978.0,1989.0,1941-1960
2349,http://www.wikidata.org/entity/Q3498668,http://www.wikidata.org/entity/Q375202,United States Naval Test Pilot School|United States Naval Academy,2,http://www.wikidata.org/entity/Q1128819|http://www.wikidata.org/entity/Q559549,1941-1960,1971.0,1982.0,1976.0,1987.0,1941-1960
2359,http://www.wikidata.org/entity/Q3498668,http://www.wikidata.org/entity/Q561878,United States Naval Test Pilot School|United States Naval Academy,2,http://www.wikidata.org/entity/Q1128819|http://www.wikidata.org/entity/Q559549,1941-1960,1971.0,1982.0,1975.0,1986.0,1941-1960
2360,http://www.wikidata.org/entity/Q3498668,http://www.wikidata.org/entity/Q705636,United States Naval Test Pilot School|United States Naval Academy,2,http://www.wikidata.org/entity/Q1128819|http://www.wikidata.org/entity/Q559549,1941-1960,1971.0,1982.0,1967.0,1978.0,1941-1960
2361,http://www.wikidata.org/entity/Q3498668,http://www.wikidata.org/entity/Q706939,United States Naval Test Pilot School|United States Naval Academy,2,http://www.wikidata.org/entity/Q1128819|http://www.wikidata.org/entity/Q559549,1941-1960,1971.0,1982.0,1975.0,1986.0,1941-1960
2364,http://www.wikidata.org/entity/Q3498668,http://www.wikidata.org/entity/Q725339,United States Naval Test Pilot School|United States Naval Academy,2,http://www.wikidata.org/entity/Q1128819|http://www.wikidata.org/entity/Q559549,1941-1960,1971.0,1982.0,1976.0,1987.0,1941-1960
2366,http://www.wikidata.org/entity/Q3498668,http://www.wikidata.org/entity/Q935510,United States Naval Test Pilot School|United States Naval Academy,2,http://www.wikidata.org/entity/Q1128819|http://www.wikidata.org/entity/Q559549,1941-1960,1971.0,1982.0,1976.0,1987.0,1941-1960
2368,http://www.wikidata.org/entity/Q3498668,http://www.wikidata.org/entity/Q948673,United States Naval Test Pilot School|United States Naval Academy,2,http://www.wikidata.org/entity/Q1128819|http://www.wikidata.org/entity/Q559549,1941-1960,1971.0,1982.0,1975.0,1986.0,1941-1960
2393,http://www.wikidata.org/entity/Q357510,http://www.wikidata.org/entity/Q362190,West Orange High School|United States Naval Test Pilot School,2,http://www.wikidata.org/entity/Q7986120|http://www.wikidata.org/entity/Q1128819,1961-1980,1982.0,1993.0,1982.0,1993.0,1961-1980
2394,http://www.wikidata.org/entity/Q357510,http://www.wikidata.org/entity/Q362220,United States Naval Test Pilot School|Naval Postgraduate School,2,http://www.wikidata.org/entity/Q1128819|http://www.wikidata.org/entity/Q1515048,1961-1980,1982.0,1993.0,1979.0,1990.0,1961-1980
